# x_1,x_2,Class_label
3.33294067e+02,1.42144826e+02,0
-1.35877074e+02,3.11931325e+02,1
-1.36094438e+02,2.45143666e+02,1
3.73793832e+02,1.73253520e+02,0
-8.13789339e+01,2.29592066e+02,1
-1.61450596e+02,2.48684769e+02,1
-1.15966457e+02,2.09524826e+02,1
4.64852248e+02,2.35183527e+02,0
-9.11942775e+01,2.02237243e+02,1
4.43555159e+02,2.16829935e+02,0
5.33974128e+02,2.15513496e+02,0
3.39129801e+02,1.68598868e+02,0
4.75606500e+02,1.67105996e+02,0
-2.28730463e+01,1.76571114e+02,1
-1.03981951e+02,2.81860374e+02,1
3.21761819e+02,1.69163974e+02,0
-1.19282286e+02,1.49067474e+02,1
4.05777848e+02,1.68349075e+02,0
3.47416068e+02,1.31720184e+02,0
-1.63693229e+02,2.90731120e+02,1
4.30606840e+02,2.03944684e+02,0
-1.11801036e+02,1.61608160e+02,1
4.30749666e+02,1.45830109e+02,0
-5.44510743e+01,7.58968458e+01,1
4.66798063e+02,2.02914377e+02,0
5.56672554e+02,2.40779804e+02,0
4.06582903e+02,1.55765441e+02,0
3.16039516e+02,1.29210122e+02,0
-1.34057803e+02,1.43165387e+02,1
3.32074304e+02,1.44223093e+02,0
-1.19806187e+02,1.45340421e+02,1
2.03372178e+01,7.25983050e+01,1
2.67009938e+02,1.15717910e+02,0
-1.96301121e+02,2.50011718e+02,1
4.37280404e+02,2.16672253e+02,0
-1.09258890e+02,2.17700521e+02,1
3.83922777e+02,1.63973806e+02,0
5.53477484e+02,2.02414851e+02,0
-6.20813586e+00,1.56520457e+02,1
5.43367895e+02,2.20518628e+02,0
-1.50855566e+02,1.65056974e+02,1
3.75998621e+02,9.15317823e+01,0
5.16901733e+02,2.16117694e+02,0
2.95565418e+02,1.60160383e+02,0
4.95538564e+02,1.42374070e+02,0
-7.29899921e+01,1.84134329e+02,1
-1.63815243e+01,1.49706746e+02,1
-2.31928948e+02,1.62062434e+02,1
5.13579160e+02,1.94385528e+02,0
3.69191122e+02,1.90662823e+02,0
4.01529261e+02,1.47735366e+02,0
-7.72964305e+01,1.71155742e+02,1
3.91298686e+02,1.69612707e+02,0
3.25007141e+02,1.36471202e+02,0
4.78079214e+02,1.68017758e+02,0
-7.72293230e+01,1.97529404e+02,1
-5.44281132e+01,1.27706583e+02,1
-1.28474783e+01,1.13827275e+02,1
3.64146737e+02,1.43539491e+02,0
4.72489284e+02,1.62150851e+02,0
3.37386331e+02,1.57193920e+02,0
3.92120489e+02,1.91980758e+02,0
3.99720893e+02,2.23138636e+02,0
-5.72919623e+01,2.48062023e+02,1
-1.10468646e+02,1.55185032e+02,1
-9.15114873e+01,2.45129761e+02,1
4.60910319e+02,2.09561669e+02,0
-4.62985362e+01,1.59640197e+02,1
5.70404288e+02,2.02578349e+02,0
5.41054475e+02,1.53278181e+02,0
4.00072526e+02,2.02878473e+02,0
3.58217846e+02,1.10590840e+02,0
-9.49679155e+01,1.96265722e+02,1
4.18021679e+02,1.81737888e+02,0
-1.61373336e+02,1.48227521e+02,1
-2.83346202e+01,9.49334319e+01,1
-1.28184738e+02,1.57135607e+02,1
-1.52070520e+02,1.62614920e+02,1
4.33176904e+02,1.91096705e+02,0
5.17051603e+02,2.00778494e+02,0
-1.11312431e+02,2.12380193e+02,1
-6.71674430e+00,2.31214431e+02,1
3.82758539e+02,1.74091258e+02,0
1.17507666e+01,2.22459363e+02,1
4.86415724e+02,1.55742803e+02,0
4.18877428e+02,1.87271431e+02,0
4.32716171e+02,2.31085124e+02,0
3.98416117e+02,1.91741341e+02,0
4.29731194e+02,1.54701740e+02,0
1.11905179e+01,6.94265834e+01,1
3.69769130e+02,2.03947231e+02,0
5.87300876e+02,2.94938125e+02,0
-1.15931268e+02,2.60791378e+02,1
-9.51856429e+01,1.13370850e+02,1
-1.67037744e+02,2.64669759e+02,1
-5.65180794e+00,9.48772868e+01,1
-2.09446369e+01,2.28792180e+02,1
3.62495495e+02,1.49309035e+02,0
5.34895575e+02,2.18683578e+02,0
4.00206327e+02,1.77606383e+02,0
-8.89933280e+01,1.77725067e+02,1
4.61049199e+02,2.15117538e+02,0
2.54119201e+02,1.29985723e+02,0
-1.54039625e+02,1.79063981e+02,1
4.36353963e+02,2.04256847e+02,0
-1.47046717e+02,1.80525311e+02,1
