# x_1,x_2,Class_label
9.59047008e+01,3.61824673e+02,2
-3.05972625e+01,2.51651830e+02,0
-3.18185205e+01,4.14644391e+02,0
1.02247164e+02,3.90394052e+02,2
8.71071564e+01,-3.59901167e+02,1
-2.22197012e+01,3.41831468e+02,0
9.41047989e+01,3.54005554e+02,2
9.07389007e+01,3.40038614e+02,2
9.82353483e+01,-3.26805484e+02,1
-2.15909540e+01,1.17016298e+02,0
9.31802732e+01,-3.34641923e+02,1
1.04400050e+02,-3.16776372e+02,1
8.33914436e+01,-3.14161882e+02,1
9.63886241e+01,3.64699485e+02,2
-3.26120701e+01,4.65387929e+02,0
1.02296898e+02,-3.12046270e+02,1
-4.62620310e+01,3.93002800e+02,0
9.64338886e+01,3.64600740e+02,2
1.05047571e+02,4.02151847e+02,2
-5.06041981e+01,2.77472649e+02,0
-4.25260161e+01,4.68876662e+02,0
9.13431972e+01,3.42245261e+02,2
1.01420114e+02,3.85781733e+02,2
-5.67676448e+00,3.03227552e+02,2
1.12687154e+02,-2.94980573e+02,1
1.07681426e+02,4.13252705e+02,2
1.02997868e+02,-3.17032381e+02,1
9.94114090e+01,3.77227262e+02,2
9.07596078e+01,-3.23749770e+02,1
-3.64008643e+01,4.12652849e+02,0
9.24647953e+01,-3.52010336e+02,1
1.00963578e+02,3.84336746e+02,2
6.27648077e+01,-3.89833810e+02,1
9.74253552e+01,3.69529060e+02,2
-2.21608495e+01,3.61618172e+02,0
1.13707816e+02,-2.81611557e+02,1
-8.69247003e+00,3.34493996e+02,0
1.00004811e+02,3.79643502e+02,2
-3.01787359e+00,4.39724532e+02,2
-1.50271614e+01,4.48103015e+02,0
1.04991552e+02,4.01844874e+02,2
1.07268973e+02,4.11539281e+02,1
-1.68741984e+01,3.57183229e+02,0
1.06678530e+02,4.09310862e+02,2
9.37964332e+01,-3.40433094e+02,1
8.85963458e+01,-3.50611570e+02,1
1.05038512e+02,4.02148263e+02,2
1.09005133e+02,4.18826765e+02,2
1.04476892e+02,3.99613226e+02,2
9.48229912e+01,3.57522130e+02,2
1.02517803e+02,3.91331664e+02,2
-3.93419693e+01,2.66430133e+02,2
1.02254009e+02,-3.21410624e+02,1
-6.78680816e+01,3.60852109e+02,0
-2.73839093e+01,4.46212736e+02,0
9.35207335e+01,3.51585321e+02,2
8.93257364e+01,-3.39050749e+02,1
9.75899317e+01,3.69242965e+02,2
-4.97389272e+01,2.50386847e+02,0
-3.92136200e+01,3.18964500e+02,0
9.50636686e+01,-3.25233503e+02,1
-1.81166285e+01,3.47193373e+02,0
-3.69815813e+01,2.63164225e+02,0
-1.00631124e+01,3.85177300e+02,0
1.05820527e+02,4.05126659e+02,2
9.43554459e+01,3.55406445e+02,2
1.03828266e+02,3.96806227e+02,2
-2.40107838e+01,2.69579186e+02,0
1.22252830e+02,-3.01076290e+02,1
1.00591560e+02,3.82643072e+02,2
9.45382761e+01,3.56238036e+02,2
9.71335961e+01,-3.32994609e+02,1
9.63508442e+01,-3.23599242e+02,1
1.04256729e+02,3.98787587e+02,2
-3.17122174e+01,3.22063508e+02,0
9.92438149e+01,-3.13064895e+02,1
-4.08600160e+01,5.48182132e+02,0
8.02235246e+01,-3.45611309e+02,1
1.06807220e+02,4.09714425e+02,2
9.46612311e+01,3.56848239e+02,2
1.09040468e+02,4.19294343e+02,2
1.03986696e+02,-3.16404410e+02,1
-2.18380322e+01,4.22418495e+02,0
1.02448288e+02,-3.13967533e+02,1
1.00191010e+02,-3.38969452e+02,1
9.29017429e+01,-3.14806463e+02,1
1.00039364e+02,3.79685595e+02,2
9.94892809e+01,3.77755613e+02,2
-3.77350688e+01,3.81783484e+02,0
7.47625984e+01,-3.68710295e+02,1
-3.73797347e+01,2.30896837e+02,0
-4.25699798e+01,3.34975453e+02,0
9.76466769e+01,3.69982788e+02,2
1.19575906e+02,-2.97315466e+02,1
1.09894855e+02,-2.99536943e+02,0
6.90395315e+01,-3.75563296e+02,1
1.04297666e+02,-3.13042082e+02,1
-3.03343500e+01,3.27007153e+02,0
-2.31441767e+01,4.04235660e+02,0
1.08121752e+02,4.14680386e+02,2
8.73931803e+01,3.25486814e+02,2
1.01780843e+02,3.87808740e+02,2
9.59882125e+01,3.62603102e+02,2
-3.55600758e+01,3.58142077e+02,0
1.02245104e+02,-3.25476218e+02,1
9.61202069e+01,3.63161963e+02,2
-1.49047083e+00,5.59771278e+02,0
1.06572067e+02,4.08495327e+02,2
8.61773845e+01,-3.30522755e+02,1
9.83357602e+01,3.73142105e+02,2
9.87483535e+01,-3.31235705e+02,1
8.42767931e+01,-3.70536628e+02,1
-4.03389482e+01,4.66629452e+02,0
1.27888471e+02,-2.74271813e+02,1
-2.67803205e+01,2.93215947e+02,0
9.82782918e+01,3.72710089e+02,0
9.74663988e+01,3.68642854e+02,2
-1.79596264e+01,3.82378941e+02,0
-2.71663369e+01,2.62134925e+02,0
1.05813332e+02,-2.79340533e+02,1
9.81683388e+01,3.72464109e+02,2
8.64923126e+01,3.21859209e+02,2
9.53225536e+01,-3.26153147e+02,1
-2.14521037e+01,3.64042883e+02,0
1.07810720e+02,-2.87780026e+02,1
8.69059018e+01,-3.64827441e+02,1
1.03753781e+02,-3.32693505e+02,1
1.13061779e+02,-2.92235587e+02,1
8.72149158e+01,-3.28616311e+02,1
1.25452730e+02,-2.83961768e+02,1
9.17930779e+01,3.44342158e+02,2
-5.80971800e+01,2.25442499e+02,0
-2.50776832e+01,4.38104972e+02,0
1.04655396e+02,4.00401824e+02,2
1.06508702e+02,4.08646038e+02,2
-5.22737545e+01,3.26526133e+02,0
-2.76695239e+01,3.47002940e+02,0
9.92407595e+01,3.76596192e+02,2
1.02215738e+02,3.90034325e+02,2
1.15094711e+02,4.45608451e+02,2
1.00809935e+02,3.84064558e+02,2
1.05855852e+02,-3.14968200e+02,1
-4.97305502e+01,4.09828986e+02,0
-4.48046830e+00,3.32673713e+02,0
-2.19624284e+00,5.96765721e+02,0
-4.59183197e+01,2.43423669e+02,0
1.04637406e+02,4.00244888e+02,2
-5.45513586e+01,3.27058176e+02,0
1.06845524e+02,4.09527861e+02,2
