# x_1,x_2,Class_label
1.40073948e+01,2.37325629e+01,1
-9.83867894e-01,9.16477774e+00,0
-1.57672615e+00,8.63150061e+00,0
1.57552002e+01,2.52213547e+01,2
-1.03031571e+01,6.66099165e+00,0
-7.77882442e+00,-9.85376014e+00,2
1.98075173e+01,2.02426693e+01,1
1.10490094e+01,-8.16130728e+00,1
-3.24201920e+00,9.26519942e+00,0
-2.23528437e+01,-2.80069644e+01,2
-1.77397628e+01,-2.13567159e+01,2
1.59995684e+01,1.27372495e+01,1
-1.60012716e+01,4.91111377e+00,0
-7.62817517e+00,8.27657169e+00,0
6.89765049e-01,-3.59282253e+00,2
1.76404315e+01,2.03799632e+01,0
1.83717418e+01,-6.01281233e-01,1
4.32416263e+00,1.03736157e+01,0
1.93554345e+01,1.49539099e+01,1
-1.03797953e+01,7.41742117e+00,0
8.26619789e+00,5.92599996e+00,1
-4.85775914e+00,8.90594891e+00,0
-3.76297326e+00,-5.02150816e+00,2
9.81160928e+00,1.34523505e+01,1
3.55485894e+00,-6.90301491e-01,2
-1.83439761e+01,2.49275647e+00,0
1.15844249e+01,-1.47426092e+00,1
-6.80715119e+00,7.99644564e+00,0
-4.41848072e-01,1.02521940e+01,0
-3.05256221e+01,2.07437177e+00,0
7.81809065e+00,1.06411262e+01,1
-8.57550464e+00,-1.46955889e+01,2
-2.36071338e+01,-2.04505666e+01,2
-2.09014324e+01,4.77131308e+00,0
2.10410954e+01,1.64719145e+01,1
-1.62467809e+01,5.18150286e+00,0
2.05426085e+01,1.69557727e+01,1
1.44458147e+01,1.34362229e+01,1
1.24222044e+01,-7.11191031e+00,1
3.44769995e+00,-8.66430899e+00,1
3.80901396e+00,-1.97170429e+01,2
-7.51498576e+00,7.48734214e+00,0
1.61132152e+01,9.41708203e+00,1
-1.37105068e+01,5.40992002e+00,0
1.01058044e+01,3.82859112e+00,1
-1.33668293e+01,-1.20834396e+01,2
-4.26853776e+01,-4.35241752e+01,2
1.50128898e+01,7.62761967e+00,1
8.76011908e+00,1.41366128e+01,1
-1.11455868e+01,-1.65645161e+01,2
-4.82965533e+00,-1.01737879e+01,2
-1.54319812e+01,7.76412511e+00,0
4.13317598e+00,-7.85765712e+00,1
1.94146646e+01,1.49379362e+01,1
-8.45082457e+00,-1.37934678e+00,2
1.41085387e+01,1.38690957e+01,1
-1.15572164e+01,-8.47279970e+00,2
-9.45301376e+00,6.40262870e+00,0
-3.07284918e+01,3.41136448e+00,0
-1.99337189e+01,4.52921433e+00,0
-1.02792201e+01,-2.25429914e+01,2
-2.46355572e+01,6.20714212e+00,0
-2.28821991e+01,4.34576326e+00,0
-1.68428937e+01,-2.05825114e+01,2
-1.53787079e+01,6.92454609e+00,0
-2.22872597e+00,-3.04273888e+00,1
1.67372477e+01,5.74016434e+00,1
1.09363933e+01,4.01757373e+00,1
1.26840653e+01,4.39440265e+00,1
-1.89013971e+01,4.92733912e+00,0
-3.17707390e+01,-3.88693464e+01,2
-1.76370441e+00,9.17943020e+00,1
4.92485783e+00,3.90866128e+00,1
9.09893586e-01,8.99431974e+00,0
1.81188086e+01,5.07458729e+00,1
-9.36237738e+00,8.00800823e+00,0
-1.18775189e+01,6.94824298e+00,0
-1.69909242e+01,6.10301463e+00,0
-1.59507322e+01,5.16052228e+00,0
-3.26183568e+01,2.65343331e+00,0
1.77879812e+01,9.31067813e+00,1
-2.08451832e+01,5.75728432e+00,0
-2.60382331e+00,9.19642443e+00,0
-6.48516338e+00,7.86247740e+00,0
4.44766713e+00,2.63669609e+00,1
-2.09802444e+01,-1.08723160e+01,2
1.23802925e+01,3.66886613e+00,1
-2.13410949e+01,6.04755861e+00,0
9.20808291e+00,4.80079675e+00,1
-2.84512593e+01,3.47197656e+00,0
-1.55635690e+01,-2.15917499e+01,2
-2.15653495e+01,4.55052700e+00,0
1.82051269e+01,8.30421928e+00,1
-2.03057559e+01,-1.64395820e+01,1
2.22325830e+01,7.61790895e+00,1
1.98440070e+00,1.17183408e+01,0
-1.01983954e+01,7.55203956e+00,0
-4.08970780e-01,-1.49448920e+00,2
-1.25046548e+01,6.58166764e+00,0
-1.32738421e+01,5.97879848e+00,0
8.73231085e+00,9.79616672e+00,1
-1.12555635e+01,-1.22562514e+01,2
1.15292347e+01,7.22842923e+00,1
1.38761016e+01,4.83572073e-03,1
-2.27934877e+00,-7.16722597e+00,1
1.08807916e+01,1.13598671e+01,1
-2.19375066e+01,4.96146207e+00,0
-2.10699576e+01,6.17583589e+00,0
-2.18412880e+01,-3.35294704e+01,2
1.60728246e+01,-6.58707243e-01,1
2.22394461e+00,-4.12264134e+00,1
-3.54983437e+01,-3.12536886e+01,2
1.18893203e+01,7.55531941e-01,1
-2.05056883e+01,4.44669696e+00,0
-1.46808278e+01,6.56690474e+00,0
-4.13468650e+00,9.48180683e+00,0
-1.42957383e+01,-2.10269520e+01,2
-1.31853944e+01,5.10331280e+00,0
-1.41026939e+01,4.95373982e+00,0
1.08192802e+01,6.27928015e+00,1
5.84736608e+00,-9.05564993e+00,1
1.96496375e+01,1.29889467e+01,1
-4.16152661e+01,-7.50835713e-01,1
-2.69837176e+01,3.92576404e+00,0
-1.22514609e+01,8.03193314e+00,0
-1.71494518e+01,-1.88068434e+01,2
